geladen;I;II;III;IV;Va;Vb
geladen;;;;;;
I;1;1;1;1;1;1
II;0;1;1;1;1;0
III;0;0;1;1;1;0
IV;0;0;0;1;1;0
Va;0;0;0;0;0;0
Vb;0;0;0;0;0;0
