ongeladen;I;II;III;IV;Va;Vb
geladen;;;;;;
I;1;1;1;1;1;0
II;1;1;1;1;0;0
III;1;1;1;1;0;0
IV;1;1;1;0;0;0
Va;1;1;0;0;0;0
Vb;1;1;0;0;0;0
