ID;Beweging;TrajectName;Timestamp;ShipID;CEMTKlasse;Width;Length;DimensionA;DimensionB;DimensionC;DimensionD
2382735;IN;Traject5;2018-05-08 07:01:44.103;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2382735;UIT;Traject6;2018-05-08 07:01:44.103;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2383068;IN;Traject4;2018-05-08 07:28:15.107;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2383068;UIT;Traject5;2018-05-08 07:28:15.107;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2383148;IN;Traject3;2018-05-08 07:34:25.280;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2383148;UIT;Traject4;2018-05-08 07:34:25.280;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2383240;IN;Traject2;2018-05-08 07:42:35.467;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2383240;UIT;Traject3;2018-05-08 07:42:35.467;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2383543;IN;Traject1;2018-05-14 09:13:11.613;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2383798;UIT;Traject1;2018-05-14 09:27:41.317;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2383798;IN;Traject2;2018-05-14 09:27:41.317;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2384378;UIT;Traject2;2018-05-14 10:06:50.307;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2384378;IN;Traject3;2018-05-14 10:06:50.307;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2384600;UIT;Traject3;2018-05-14 10:14:50.137;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2384600;IN;Traject4;2018-05-14 10:14:50.137;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2384638;UIT;Traject4;2018-05-14 10:21:31.697;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2384638;IN;Traject5;2018-05-14 10:21:31.697;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2385187;IN;Traject6;2018-05-14 11:02:01.297;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2385187;UIT;Traject5;2018-05-14 11:02:01.297;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
2385561;UIT;Traject6;2018-05-14 11:35:21.147;EB74EEF2-42EA-4095-8A6C-F630B94DB605;III;8;55;43;12;2;6
30672;IN;Traject6;2018-05-23 21:53:17.793;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
45780;UIT;Traject6;2018-05-24 06:54:27.627;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
45780;IN;Traject5;2018-05-24 06:54:27.627;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
46217;UIT;Traject5;2018-05-24 07:16:28.033;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
46217;IN;Traject4;2018-05-24 07:16:28.033;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
46433;UIT;Traject4;2018-05-24 07:23:28.037;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
46433;IN;Traject3;2018-05-24 07:23:28.037;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
46620;UIT;Traject3;2018-05-24 07:32:57.647;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
46620;IN;Traject2;2018-05-24 07:32:57.647;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
47008;UIT;Traject2;2018-05-24 07:55:48.697;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
47008;IN;Traject1;2018-05-24 07:55:48.697;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
47653;UIT;Traject1;2018-05-24 08:13:13.637;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
48761;IN;Traject1;2018-05-29 21:53:26.117;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
49029;IN;Traject2;2018-05-29 22:05:47.303;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
49029;UIT;Traject1;2018-05-29 22:05:47.303;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
49201;IN;Traject3;2018-05-29 22:21:36.773;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
49201;UIT;Traject2;2018-05-29 22:21:36.773;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
49373;IN;Traject4;2018-05-29 22:28:37.213;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
49373;UIT;Traject3;2018-05-29 22:28:37.213;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
49553;IN;Traject5;2018-05-29 22:36:37.747;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
49553;UIT;Traject4;2018-05-29 22:36:37.747;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
50449;UIT;Traject5;2018-05-29 23:08:46.203;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
50449;IN;Traject6;2018-05-29 23:08:46.203;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
51062;UIT;Traject6;2018-05-29 23:38:36.627;F8EC2713-6795-4878-82BA-05EDE22A45B6;IV;9;80;70;10;5;4
2629231;IN;Traject1;2018-05-29 16:00:33.557;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2629364;UIT;Traject1;2018-05-29 16:12:01.683;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2629364;IN;Traject2;2018-05-29 16:12:01.683;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2629471;UIT;Traject2;2018-05-29 16:26:48.437;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2629471;IN;Traject3;2018-05-29 16:26:48.437;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2629538;UIT;Traject3;2018-05-29 16:33:09.937;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2629538;IN;Traject4;2018-05-29 16:33:09.937;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2629559;UIT;Traject4;2018-05-29 16:37:27.467;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2629559;IN;Traject5;2018-05-29 16:37:27.467;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2629956;UIT;Traject5;2018-05-29 17:05:37.427;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2629956;IN;Traject6;2018-05-29 17:05:37.427;F32F32DE-1248-424B-B9C1-394E5B3D5F80;III;8;77;64;13;6;2
2695535;IN;Traject6;2018-05-08 05:52:13.143;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2696233;IN;Traject5;2018-05-08 06:30:05.787;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2696233;UIT;Traject6;2018-05-08 06:30:05.787;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2696587;IN;Traject4;2018-05-08 06:53:05.697;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2696587;UIT;Traject5;2018-05-08 06:53:05.697;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2696708;IN;Traject3;2018-05-08 06:58:44.277;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2696708;UIT;Traject4;2018-05-08 06:58:44.277;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2696843;IN;Traject2;2018-05-08 07:07:04.747;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2696843;UIT;Traject3;2018-05-08 07:07:04.747;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2697698;UIT;Traject2;2018-05-08 07:33:03.483;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2697698;IN;Traject1;2018-05-08 07:33:03.483;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2698038;UIT;Traject1;2018-05-08 07:50:26.797;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2698198;IN;Traject6;2018-05-16 13:22:10.157;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2698198;UIT;Traject5;2018-05-16 13:22:10.157;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2698198;IN;Traject1;2018-05-16 13:22:10.157;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2700134;IN;Traject6;2018-05-24 21:03:47.897;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2701192;IN;Traject5;2018-05-24 21:53:59.543;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2701192;UIT;Traject6;2018-05-24 21:53:59.543;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2710619;IN;Traject4;2018-05-25 05:01:29.780;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2710619;UIT;Traject5;2018-05-25 05:01:29.780;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
2710709;UIT;Traject4;2018-05-25 05:09:09.593;F8A7C71E-C315-4BB3-9837-4C0B063E2790;IV;9;90;75;15;7;2
